Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$150K,"We are adding a Data Scientist to our growing team!

ABOUT AMERICAN CAPITAL GROUP
American Capital Group (ACG) is a fully-integrated real estate investment and development company. The company has designed and built more than 80 multifamily properties across 12 states over its 33 year history. Today, ACG is an industry leader with dedicated personnel in Engineering, Design, Acquisition, Development, Construction, Property Management, and Investment Management. We strongly value teamwork, integrity, transparency and strive to deliver the highest quality products and services to our investors and customers.",4.3,"American Capital Group
4.3","Bellevue, WA",51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Data Scientist,$67K - $129K (Glassdoor est.),"COMPANY OVERVIEW:
INFICON is a leading provider of innovative instrumentation, critical sensor technologies, and Smart Manufacturing/Industry 4.0 software solutions that enhance productivity and quality of tools, processes, and complete factories. These analysis, measurement and control products are essential for gas leak detection in air conditioning/refrigeration and automotive manufacturing. They are vital to equipment manufacturers and end-users in the complex fabrication of semiconductors and thin film coatings for optics, flat panel displays, solar cells and industrial vacuum coating applications. Other users of our vacuum-based processes include the life sciences, research, aerospace, packaging, heat treatment, laser cutting and many other industrial processes. We also leverage our expertise in vacuum technology to provide unique, toxic chemical analysis products for emergency response, security, and environmental health and safety.










Required",3.3,"INFICON, Inc.
3.3","East Syracuse, NY",501 to 1000 Employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD)
Geospatial Data Scientist,Employer Provided Salary:$155K - $165K,"Mid - Senior Geospatial Data Scientist
EpochGeo is looking for a mid to senior level Geospatial Data Scientist to support one of the most innovative, exciting, and growing offices that is rooted in geospatial automated analytic projects in the national security space.
Are you a technical geographer who loves to work with data, find patterns in it, and then turn it into actionable intelligence? Are you a data scientist who loves to draw out insights from data, and work with analysts and engineers to turn those insights into automated workflows? If so, please reach out to us at EpochGeo to chat.
Location-based big data can be overwhelming, inaccessible, and noisy. EpochGeo is a data services firm specializing in supporting the full spectrum data cycle: beginning with scalable data storage and ending in producing impactful analytics. Our developers, analysts, and data scientists have a proven track record applying open-source innovative technology, data science, and actionable analytics to inform customers’ data driven decisions.",-1,EpochGeo,"Washington, DC",-1,-1,-1,-1,-1,-1
BI Data Engineer/ Data Scientist,$69K - $123K (Glassdoor est.),"You're considering a career with one of the largest diversified suppliers in the foodservice industry. Golden State Foods sets the Gold Standard by focusing on it’s Creed and Values, putting customers first and continually innovating. GSF associates are also deeply committed to the communities where they live and work, as much as an 80% participate in the GSF Foundation, where 100% of the associate proceeds go to helping children and families in need.
The Business Intelligence Data Engineer/ Data Scientist will be responsible for the scripts and processes required to extract, transform, clean and move data and metadata so they can be loaded into a data warehouse, data mart or operational data store. Reads, analyzes and digests what the company wants to accomplish with its data, and designs the best possible ETL process around those goals. This is a hybrid remote position.
MINIMUM QUALIFICATIONS",3.6,"Golden State Foods
3.6","Irvine, CA",5001 to 10000 Employees,1947,Company - Private,Wholesale,Business Services,$5 to $10 billion (USD)
"Data Scientist, System Analytics",$96K - $168K (Glassdoor est.),"High growth, pre-IPO company in stealth mode
Join a rapidly growing company that is developing ground-breaking genomics technologies that will push the boundaries in the clinical, life sciences research and therapeutic fields. We are well-funded by global top-tier investors, including venture capital firms and growth equity investors. Our team brings together unique and diverse expertise across multiple disciplines, from healthcare and life sciences, to engineering, to technology and software and beyond. We are a collaborative group of more than 200 employees, including successful entrepreneurs, hardware and software engineers, genomics and biotechnology experts, molecular and computational biologists, software and algorithm experts, and operations and commercial leaders. Play an important role in the development and commercialization of technology and products that will accelerate our understanding of life, biology and disease and transform large industries.",4.1,"Stealth Mode Startup
4.1","Newark, CA",1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD)
Data Scientist,Employer Provided Salary:$80K - $100K,"Data Scientist
Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Scientist to support our Data Science team.
The Data Scientist will be responsible for developing quantitative/analytic models and applications in support of the firm's risk underwriting and marketing effort. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. Our Quantitative Analytic staff is focused on and responsible for the development of the theory and mathematics behind various models. This position reports to Chief Data Scientist.",4.0,"Continental Finance Company, LLC
4.0","Wilmington, DE",51 to 200 Employees,2005,Company - Private,Lending,Finance,$5 to $10 million (USD)
Data Scientist Consultant,Employer Provided Salary:$75 Per Hour,"FOR IMMEDIATE RELEASE: October 21, 2021
TBD Solutions LLC Job Posting: Data Scientist Consultant
TBD Solutions LLC (www.tbdsolutions.com) is a woman- and veteran-owned West Michigan consultancy serving a diverse customer base of governmental, for profit and non-profit organizations in the community care sector. TBD Solutions provides strategic facilitation, analysis, and continuous improvement guidance through an array of professional knowledge enhancement services. A Data Scientist Consultant is being sought to leverage their technical, statistical, and/or data analyst expertise to stratify and visualize complex information, making it usable by clients. Of equal importance, they leverage their interpersonal skills, honed to bolster client understanding that fosters inquisitiveness, drives key decisions, and aids in meeting project evaluation/analysis needs of TBD Solutions and its customers. The Data Scientist Consultant will report directly to the Chief Knowledge Officer (CKO) and work closely with the company’s other consultants.",-1,TBD Solutions LLC,"Grand Rapids, MI",-1,-1,-1,-1,-1,-1
Senior Data Scientist/ML Engineer,Employer Provided Salary:$120K - $200K,"About Deep Sentinel
Deep Sentinel is a breakthrough, next generation home security company that combines state-of-the-art technology (camera, audio, mobile interface, etc.), artificial intelligence and real human guards watching cameras in real-time. No other security company does this. Whereas all other physical security solutions are either reactive (when it is often too late) or require self-monitoring, Deep Sentinel is truly proactive, intervening on potential criminal activity before it happens. Deep Sentinel is literally the only monitored home security system that can (and does!) predict then prevent burglaries before they happen. The Deep Sentinel solution is also easy to install and extremely affordable.
To see how it works, visit: https://www.deepsentinel.com/how-it-works/
The company is backed by top investors including Jeff Bezos and top-tier Venture Capital firms including Shasta Ventures (Nest, NextDoor), Slow Ventures, UP2398, FoundersFund (Facebook) and Lux Capital.",3.3,"Deep Sentinel Corp.
3.3",Remote,1 to 50 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$101K - $165K,"Your Opportunity

We are looking for a curious, optimistic, and innovative data scientist who takes initiative to solve problems that help our clients and one another succeed. Our large client base and multi-channel transaction volume offers a fertile data environment to build models, discover new insights, and guide decision-making at Schwab.

Data Science is an enterprise team within the Data, Analytics, and Insight (DAI) organization that builds models and provides advanced analytical support across all business units including retail, institutional, marketing, digital, and operations. Our data scientists collaborate directly with business, product, technology, and other analytical teams in DAI to solve complex business problems by building state-of-the-art models and tools to grow the business, streamline costs, and improve customer experiences.",3.9,"Charles Schwab
3.9","Lone Tree, CO",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$35 - $75 Per Hour,"MetLife Legal Plans is the leading consumer legal service in the United States, providing the best legal services for working families. Through our network of over 17,000 attorneys, members of our legal insurance plans can resolve legal matters that range from buying a new home to adopting a child. You can learn more at legalplans.com.
Whether you are making a will after starting a family, negotiating the contract on your dream home, or just want the peace of mind of having our attorneys on your side, we make it easy and affordable to get quality legal help.
About the role
At MetLife Legal Plans, we build technology that makes it easy to solve legal problems. With millions of customers, we rely on data-driven decision making to improve our business. We are looking for a data scientist to join our team and help us organize and analyze all of our data.",-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1
